Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
COCOS (KEELING) ISLANDS,1.311,,,,,,1.0,,,596.0,0.1,,,,,,
COLOMBIA,3.0,4.6,12.4,31.2,35.7,90.4,10.68,14600.0,95.6,49336454.0,14.34,26.4,26.4,7764772.0,99.0,37960000.0,75000000.0
COMOROS,415.956,11.1,29.5,20.9,42.4,32.4,2.11,3200.0,62.0,888378.0,9.45,21.7,21.7,1066.0,87.0,221400.0,853449.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",1.0,2.9,22.7,16.7,63.0,18.1,6.2,1100.0,80.0,111859928.0,5.43,10.1,10.1,31000.0,20.0,21102720.0,47000000.0
"CONGO, REPUBLIC OF THE",554.531,2.1,26.8,19.5,40.9,130.8,-2.2,3200.0,80.6,5677493.0,23.01,42.3,42.3,1000.0,49.0,1794390.0,5558658.0
COOK ISLANDS,1.416,20.3,27.7,38.3,,,10.5,15600.0,,7939.0,13.1,,,2700.0,,11382.0,17000.0
COSTA RICA,554.531,0.9,17.9,20.3,39.5,47.0,7.04,5300.0,89.9,29344847.0,3.47,5.7,5.7,260097.0,71.0,12150000.0,44561505.0
CROATIA,0.845,36.1,37.6,43.9,18.3,104.89,13.07,31600.0,99.4,4169239.0,8.68,23.6,23.6,1030973.0,100.0,3321000.0,4402213.0
CUBA,1.0,10.3,25.5,42.1,,47.7,1.25,12300.0,99.7,10985974.0,2.76,7.4,7.4,231654.0,100.0,7810000.0,7103296.0
CURACAO,1.79,47.1,38.1,36.7,,33.2,4.23,20800.0,,152849.0,13.0,42.2,42.2,55000.0,100.0,111956.0,170000.0
CYPRUS,,23.2,47.0,37.9,,,,,99.4,1308120.0,,11.8,11.8,,,,
CZECHIA,21.678,26.4,35.0,43.3,10.1,34.7,3.54,40700.0,99.0,10706242.0,2.89,7.6,7.6,3845426.0,100.0,9130000.0,13129905.0
DENMARK,6.287,17.1,17.8,42.0,12.5,35.3,3.8,59700.0,,5946984.0,4.8,10.1,10.1,2590282.0,100.0,5841000.0,7287875.0
DJIBOUTI,177.721,82.2,78.6,24.9,21.1,31.8,4.81,4900.0,,976143.0,28.39,79.9,79.9,25053.0,65.0,759000.0,489339.0
DOMINICA,2.7,,,34.9,29.0,82.7,6.68,10900.0,,74656.0,23.0,,,16000.0,100.0,58320.0,62000.0
DOMINICAN REPUBLIC,89.227,3.1,12.2,24.1,58.5,31.1,-1.8,2900.0,61.7,11470261.0,15.73,35.7,35.7,31000.0,47.0,4290000.0,7300000.0
ECUADOR,1.0,4.2,18.4,28.8,25.0,45.4,4.24,10700.0,94.5,17483326.0,6.43,14.2,14.2,2371297.0,100.0,13680000.0,16789600.0
EGYPT,15.645,0.4,48.1,24.1,32.5,103.0,3.33,11600.0,73.1,109546720.0,9.33,24.3,24.3,9349469.0,100.0,79200000.0,103449427.0
EL SALVADOR,1.0,1.7,14.1,27.7,22.8,71.41,10.28,9100.0,89.1,6602370.0,5.94,13.7,13.7,586000.0,97.0,3969000.0,11071073.0
EQUATORIAL GUINEA,554.531,93.0,97.4,20.3,44.0,37.4,-0.95,14600.0,95.3,1737695.0,9.24,18.3,18.3,1000.0,66.0,864000.0,650000.0
