Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
MONGOLIA,2.0,7.1,51.7,29.8,28.4,73.94,1.64,11700.0,99.2,3255468.0,7.08,21.0,21.0,307166.0,100.0,2772000.0,4687304.0
MONTENEGRO,0.845,31.1,31.6,39.6,24.5,67.2,12.43,20600.0,99.0,602445.0,18.49,31.6,31.6,184176.0,99.0,516600.0,1120074.0
MONTSERRAT,,,,34.8,,,,,,5440.0,,,,,,,
MOROCCO,8.988,0.8,28.2,29.1,4.8,65.1,7.93,8100.0,75.9,37067420.0,11.47,27.2,27.2,2102434.0,100.0,32560000.0,52012000.0
MOZAMBIQUE,65.465,5.6,23.0,17.0,46.1,102.88,2.36,1200.0,63.4,32513805.0,3.98,8.1,8.1,70000.0,31.0,5440000.0,13686234.0
NAMIBIA,,91.4,91.6,22.5,,,,,91.5,2727409.0,,43.4,,,,,
NAURU,1.331,49.1,47.8,27.0,,62.0,1.5,11900.0,,9852.0,23.0,26.6,26.6,950.0,100.0,10920.0,10000.0
NEPAL,118.134,12.8,47.9,25.3,25.2,39.05,4.25,3800.0,71.2,30899443.0,5.05,9.5,9.5,1270000.0,89.0,15600000.0,38000000.0
NETHERLANDS,0.845,19.9,24.4,42.8,13.6,56.5,4.86,56600.0,,17463930.0,4.01,9.6,9.6,7525016.0,100.0,16559999.0,21888000.0
NEW CALEDONIA,100.88,96.5,97.3,32.9,17.0,6.5,2.0,35700.0,96.9,300682.0,16.57,41.0,41.0,55000.0,100.0,237800.0,260000.0
NEW ZEALAND,,99.0,99.0,37.2,,,,,99.0,5223100.0,,9.2,,,,,
NICARAGUA,35.171,82.8,82.4,27.3,24.9,33.3,10.34,5600.0,82.6,6359689.0,5.96,11.6,11.6,290351.0,86.0,3933000.0,6233864.0
NIGER,554.531,1.1,13.7,14.8,40.8,45.3,1.39,1200.0,37.3,25396840.0,0.75,1.0,1.0,12000.0,18.0,5500000.0,14000000.0
NIGERIA,358.811,0.5,6.9,18.6,40.1,21.8,3.65,4900.0,62.0,230842743.0,9.79,19.6,19.6,65313.0,59.0,115500000.0,195128265.0
NIUE,1.416,,,,,,6.2,11100.0,,2000.0,12.0,,,,,1512.0,
NORFOLK ISLAND,1.311,,,,,,,,,1748.0,,,,,,806.0,
NORTH MACEDONIA,52.102,97.6,99.1,39.0,21.6,39.3,3.96,16500.0,98.4,2133410.0,16.2,34.1,34.1,475569.0,100.0,1743000.0,1941352.0
NORTHERN MARIANA ISLANDS,,,,32.8,,7.1,-11.14,24500.0,,51295.0,11.2,,,,100.0,12299.0,20474.0
NORWAY,8.59,15.4,17.0,39.5,12.7,36.5,3.3,67500.0,,5597924.0,4.99,13.0,13.0,2387661.0,100.0,5346000.0,5800000.0
OMAN,0.385,0.4,15.5,26.2,,46.9,3.09,34300.0,95.7,3833465.0,3.12,14.6,14.6,508949.0,100.0,4320000.0,6115537.0
