Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
NIGER,1.267 million sq km,0 km,1.34,3.54,"5,834 km",3.66,1.39,29.96,25396840.0,10.0,20.0,,1.0,464.0,8000.0,,5422.0,3799.0,15280.0,,18949.0,300.0
NIGERIA,"923,768 sq km",853 km,50.86,66.11,"4,477 km",2.53,3.65,1050.0,230842743.0,40.0,14.0,4045.0,5.0,4441.0,1646900.0,3798.0,2332.0,223400.0,35010.0,,195000.0,8600.0
NIUE,260 sq km,64 km,5.68,43.8,0 km,0.03,6.2,18.7,2000.0,1.0,24.0,,,,0.0,,,54.0,,,234.0,
NORFOLK ISLAND,36 sq km,32 km,,,0 km,0.01,,,1748.0,1.0,27.0,,,,,,,,,,80.0,
NORTH MACEDONIA,"25,713 sq km",0 km,9.16,11.35,838 km,0.11,3.96,34.01,2133410.0,8.0,2.0,262.0,,120.0,0.0,699.0,3065.0,23560.0,,,14182.0,
NORTHERN MARIANA ISLANDS,464 sq km,"1,482 km",914.0,893.0,0 km,0.35,-11.14,1.24,51295.0,3.0,2.0,,1.0,,0.0,,,,,,536.0,
NORWAY,"323,802 sq km","25,148 km",199.07,140.44,"2,566 km",0.79,3.3,368.15,5597924.0,67.0,28.0,8520.0,1.0,1304.0,,3848.0,432800.0,135300.0,371600.0,,94902.0,1577.0
OMAN,"309,500 sq km","2,092 km",46.32,36.5,"1,561 km",1.8,3.09,155.03,3833465.0,13.0,119.0,4224.0,3.0,3558.0,978800.0,,33700.0,6041.0,229600.0,,60230.0,
PAKISTAN,"796,095 sq km","1,046 km",35.57,76.39,"7,257 km",1.91,6.49,1211.0,247653551.0,108.0,43.0,13452.0,23.0,3663.0,100700.0,11881.0,25510.0,264500.0,291200.0,,264175.0,
PALAU,459 sq km,"1,519 km",12.07,180.38,0 km,0.39,-13.33,248.47,21779.0,1.0,2.0,,,,,,,,,,125.0,
PANAMA,"75,420 sq km","2,490 km",27.24,24.63,687 km,1.51,15.34,126.35,4404108.0,57.0,60.0,,3.0,128.0,0.0,77.0,66.0,129200.0,,,,800.0
PAPUA NEW GUINEA,"462,840 sq km","5,152 km",11.0,4.25,824 km,2.31,0.3,36.59,9819350.0,21.0,540.0,,2.0,264.0,37200.0,,0.0,17110.0,22170.0,,9349.0,11000.0
PARAGUAY,"406,752 sq km",0 km,14.15,13.45,"4,655 km",1.12,4.1,91.76,7439863.0,15.0,784.0,,,,2000.0,30.0,,40760.0,,,78811.0,3100.0
PERU,"1,285,216 sq km","2,414 km",66.1,58.61,"7,062 km",0.5,13.35,421.94,32440172.0,59.0,132.0,1526.0,5.0,1106.0,122500.0,,62640.0,65400.0,166600.0,,18699.0,8808.0
PHILIPPINES,"300,000 sq km","36,289 km",87.79,126.51,0 km,1.58,5.7,921.83,109035343.0,7.0,2.0,,5.0,,10300.0,,26710.0,211400.0,215500.0,,,
PITCAIRN ISLANDS,47 sq km,51 km,,,0 km,0.0,,,50.0,,,,,,,,,,,,,
POLAND,"312,685 sq km",440 km,411.62,380.7,"2,865 km",0.28,6.85,1318.0,37991766.0,87.0,39.0,14198.0,6.0,1374.0,28400.0,19461.0,104800.0,222300.0,554200.0,,420000.0,3997.0
